AC_L_001 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
21.5,24.58,0.000,0.0
22.0,24.58,0.000,0.0
22.5,24.58,0.000,0.0
23.0,24.58,0.000,0.0
23.5,24.58,0.000,0.0
24.0,24.57,0.000,0.0

"日期: 2021/6/23, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.55,0.000,0.0
2.0,23.59,0.000,0.0
2.5,23.63,0.000,0.0
3.0,23.67,0.000,0.0
3.5,23.71,0.000,0.0
4.0,23.75,0.000,0.0
4.5,23.79,0.000,0.0
5.0,23.82,0.000,0.0
5.5,23.85,0.000,0.0
6.0,23.87,0.000,0.0
6.5,23.89,0.000,0.0
7.0,23.91,0.000,0.0
7.5,23.92,0.000,0.0
8.0,23.93,0.000,0.0
8.5,23.94,0.000,0.0
9.0,23.94,0.000,0.0
9.5,23.95,0.000,0.0
10.0,23.95,0.000,0.0
10.5,23.95,0.000,0.0
11.0,23.95,0.000,0.0
11.5,23.96,0.000,0.0
12.0,23.96,0.000,0.0
12.5,23.97,0.000,0.0
13.0,23.96,0.000,0.0
13.5,23.96,0.000,0.0
14.0,23.96,0.000,0.0
14.5,23.96,0.000,0.0
15.0,23.95,0.000,0.0
15.5,23.95,0.000,0.0
16.0,23.94,0.000,0.0
16.5,23.95,0.000,0.0
17.0,23.96,0.000,0.0
17.5,23.97,0.000,0.0
18.0,23.98,0.000,0.0
18.5,24.00,0.000,0.0
19.0,24.01,0.000,0.0
19.5,24.02,0.000,0.0
20.0,24.04,0.000,0.0
20.5,24.06,0.000,0.0
21.0,24.07,0.000,0.0
21.5,24.09,0.000,0.0
22.0,24.11,0.000,0.0
22.5,24.13,0.000,0.0
23.0,24.16,0.000,0.0
23.5,24.19,0.000,0.0
24.0,24.22,0.000,0.0

"日期: 2021/6/24, 空调: AC_L_001 (large), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.51,0.000,0.0
1.5,23.52,0.000,0.0
2.0,23.52,0.000,0.0
2.5,23.53,0.000,0.0
3.0,23.54,0.000,0.0
3.5,23.55,0.000,0.0
4.0,23.56,0.000,0.0
4.5,23.58,0.000,0.0
5.0,23.60,0.000,0.0
5.5,23.62,0.000,0.0
6.0,23.63,0.000,0.0
6.5,23.65,0.000,0.0
7.0,23.67,0.000,0.0
7.5,23.69,0.000,0.0
8.0,23.70,0.000,0.0
8.5,23.72,0.000,0.0
9.0,23.74,0.000,0.0
9.5,23.76,0.000,0.0
