100个空调完整时间序列数据

"空调: AC_S_050 (small), 额定功率: 3.21kW, 温度范围: [20.3, 25.8]°C, 状态: success"
5.5,27.6,25.60,1.028,29.5
6.0,27.9,25.60,1.169,33.5
6.5,28.2,25.60,1.310,37.5
7.0,28.5,25.60,1.451,41.6
7.5,28.8,25.60,1.592,45.6
8.0,29.1,25.60,1.733,49.7
8.5,29.4,25.60,1.889,54.1
9.0,29.7,25.60,2.045,58.6
9.5,30.0,25.60,2.202,63.1
10.0,30.3,25.60,2.358,67.6
10.5,30.6,25.60,2.514,72.0
11.0,30.9,25.60,2.670,76.5
11.5,30.7,25.60,2.574,73.7
12.0,30.5,25.60,2.477,71.0
12.5,30.3,25.60,2.380,68.2
13.0,30.1,25.60,2.283,65.4
13.5,30.0,25.60,2.187,62.7
14.0,29.8,25.60,2.090,59.9
14.5,29.5,25.60,1.962,56.2
15.0,29.2,25.60,1.833,52.5
15.5,29.0,25.60,1.705,48.9
16.0,28.7,25.60,1.577,45.2
16.5,28.5,25.60,1.448,41.5
17.0,28.2,25.60,1.320,37.8
17.5,28.3,25.60,1.356,38.8
18.0,28.4,25.60,1.391,39.9
18.5,28.4,25.60,1.427,40.9
19.0,28.5,25.60,1.463,41.9
19.5,28.6,25.60,1.499,42.9
20.0,28.7,25.60,1.535,44.0
20.5,28.6,25.60,1.511,43.3
21.0,28.6,25.60,1.486,42.6
21.5,28.5,25.60,1.462,41.9
22.0,28.5,25.60,1.438,41.2
22.5,28.4,25.60,1.414,40.5
23.0,28.4,25.60,1.390,39.8
23.5,28.3,25.60,1.378,39.5
24.0,28.3,25.60,1.378,39.5

"空调: AC_S_053 (small), 额定功率: 2.60kW, 温度范围: [20.9, 24.5]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.74,0.000,0.0
1.0,27.5,23.97,0.000,0.0
1.5,27.5,24.18,0.000,0.0
2.0,27.5,24.37,0.000,0.0
2.5,27.5,24.50,0.474,18.2
3.0,27.4,24.50,1.490,57.3
3.5,27.4,24.50,1.481,57.0
4.0,27.4,24.39,2.427,93.4
4.5,27.4,24.26,2.600,100.0
5.0,27.4,24.14,2.600,100.0
5.5,27.6,24.05,2.600,100.0
6.0,27.9,23.97,2.600,100.0
6.5,28.2,23.92,2.600,100.0
7.0,28.5,23.89,2.600,100.0
7.5,28.8,23.87,2.600,100.0
8.0,29.1,23.88,2.600,100.0
8.5,29.4,23.90,2.600,100.0
9.0,29.7,23.94,2.600,100.0
9.5,30.0,23.99,2.600,100.0
10.0,30.3,24.06,2.600,100.0
10.5,30.6,24.14,2.600,100.0
11.0,30.9,24.24,2.600,100.0
11.5,30.7,24.32,2.600,100.0
12.0,30.5,24.39,2.600,100.0
12.5,30.3,24.44,2.600,100.0
13.0,30.1,24.47,2.600,100.0
13.5,30.0,24.49,2.600,100.0
14.0,29.8,24.50,2.600,100.0
14.5,29.5,24.50,2.539,97.7
15.0,29.2,24.50,2.409,92.7
15.5,29.0,24.50,2.280,87.7
16.0,28.7,24.50,2.150,82.7
16.5,28.5,24.50,2.021,77.7
17.0,28.2,24.50,1.891,72.7
17.5,28.3,24.50,1.927,74.1
18.0,28.4,24.50,1.963,75.5
18.5,28.4,24.50,1.999,76.9
19.0,28.5,24.50,2.036,78.3
19.5,28.6,24.50,2.072,79.7
20.0,28.7,24.50,2.108,81.1
20.5,28.6,24.50,2.084,80.1
21.0,28.6,24.50,2.059,79.2
21.5,28.5,24.50,2.035,78.3
22.0,28.5,24.50,2.010,77.3
22.5,28.4,24.50,1.986,76.4
23.0,28.4,24.50,1.961,75.4
23.5,28.3,24.50,1.950,75.0
24.0,28.3,24.50,1.950,75.0

"空调: AC_S_010 (small), 额定功率: 2.84kW, 温度范围: [20.3, 25.9]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.70,0.000,0.0
1.0,27.5,23.89,0.000,0.0
1.5,27.5,24.07,0.000,0.0
2.0,27.5,24.23,0.000,0.0
2.5,27.5,24.39,0.000,0.0
3.0,27.4,24.54,0.000,0.0
3.5,27.4,24.68,0.000,0.0
4.0,27.4,24.82,0.000,0.0
4.5,27.4,24.94,0.000,0.0
5.0,27.4,25.06,0.000,0.0
5.5,27.6,25.19,0.000,0.0
6.0,27.9,25.32,0.000,0.0
6.5,28.2,25.47,0.000,0.0
7.0,28.5,25.61,0.000,0.0
7.5,28.8,25.77,0.000,0.0
8.0,29.1,25.90,0.249,8.8
8.5,29.4,25.90,1.419,49.9
9.0,29.7,25.90,1.546,54.4
9.5,30.0,25.90,1.674,58.9
10.0,30.3,25.90,1.801,63.4
10.5,30.6,25.90,1.929,67.9
11.0,30.9,25.90,2.056,72.4
11.5,30.7,25.90,1.977,69.6
12.0,30.5,25.90,1.898,66.8
12.5,30.3,25.90,1.819,64.1
13.0,30.1,25.90,1.740,61.3
13.5,30.0,25.90,1.661,58.5
14.0,29.8,25.90,1.582,55.7
14.5,29.5,25.90,1.478,52.0
15.0,29.2,25.90,1.373,48.3
15.5,29.0,25.90,1.268,44.7
16.0,28.7,25.90,1.164,41.0
16.5,28.5,25.90,1.059,37.3
17.0,28.2,25.90,0.954,33.6
17.5,28.3,25.90,0.983,34.6
18.0,28.4,25.90,1.012,35.7
18.5,28.4,25.90,1.042,36.7
19.0,28.5,25.90,1.071,37.7
19.5,28.6,25.90,1.100,38.7
20.0,28.7,25.90,1.129,39.8
20.5,28.6,25.90,1.110,39.1
21.0,28.6,25.90,1.090,38.4
21.5,28.5,25.90,1.070,37.7
22.0,28.5,25.90,1.050,37.0
22.5,28.4,25.90,1.031,36.3
23.0,28.4,25.90,1.011,35.6
23.5,28.3,25.90,1.002,35.3
24.0,28.3,25.90,1.002,35.3

"空调: AC_M_030 (medium), 额定功率: 3.75kW, 温度范围: [21.3, 24.3]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.68,0.000,0.0
1.0,27.5,23.84,0.000,0.0
1.5,27.5,23.87,2.462,65.6
2.0,27.5,23.81,3.750,100.0
2.5,27.5,23.76,3.750,100.0
3.0,27.4,23.71,3.750,100.0
3.5,27.4,23.66,3.750,100.0
4.0,27.4,23.61,3.750,100.0
4.5,27.4,23.56,3.750,100.0
5.0,27.4,23.52,3.750,100.0
5.5,27.6,23.49,3.750,100.0
6.0,27.9,23.47,3.750,100.0
6.5,28.2,23.47,3.750,100.0
7.0,28.5,23.47,3.750,100.0
7.5,28.8,23.49,3.750,100.0
8.0,29.1,23.52,3.750,100.0
8.5,29.4,23.57,3.750,100.0
9.0,29.7,23.62,3.750,100.0
9.5,30.0,23.69,3.750,100.0
10.0,30.3,23.76,3.750,100.0
10.5,30.6,23.85,3.750,100.0
11.0,30.9,23.95,3.750,100.0
11.5,30.7,24.03,3.750,100.0
12.0,30.5,24.10,3.750,100.0
12.5,30.3,24.16,3.750,100.0
13.0,30.1,24.21,3.750,100.0
13.5,30.0,24.25,3.750,100.0
14.0,29.8,24.28,3.750,100.0
14.5,29.5,24.30,3.750,100.0
15.0,29.2,24.30,3.750,100.0
15.5,29.0,24.30,3.631,96.8
16.0,28.7,24.30,3.434,91.6
16.5,28.5,24.30,3.236,86.3
17.0,28.2,24.30,3.038,81.0
17.5,28.3,24.30,3.094,82.5
18.0,28.4,24.30,3.149,84.0
18.5,28.4,24.30,3.204,85.4
19.0,28.5,24.30,3.259,86.9
19.5,28.6,24.30,3.314,88.4
20.0,28.7,24.30,3.369,89.8
20.5,28.6,24.30,3.332,88.9
21.0,28.6,24.30,3.295,87.9
21.5,28.5,24.30,3.258,86.9
22.0,28.5,24.30,3.220,85.9
22.5,28.4,24.30,3.183,84.9
23.0,28.4,24.30,3.146,83.9
23.5,28.3,24.30,3.129,83.4
24.0,28.3,24.30,3.129,83.4

"空调: AC_S_051 (small), 额定功率: 3.09kW, 温度范围: [21.2, 25.2]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.75,0.000,0.0
1.0,27.5,23.99,0.000,0.0
1.5,27.5,24.21,0.000,0.0
2.0,27.5,24.41,0.000,0.0
2.5,27.5,24.60,0.000,0.0
3.0,27.4,24.77,0.000,0.0
3.5,27.4,24.94,0.000,0.0
4.0,27.4,25.09,0.000,0.0
4.5,27.4,25.20,0.230,7.4
5.0,27.4,25.20,0.922,29.8
5.5,27.6,25.20,1.041,33.7
6.0,27.9,25.20,1.160,37.6
6.5,28.2,25.20,1.280,41.4
7.0,28.5,25.20,1.399,45.3
7.5,28.8,25.20,1.519,49.1
8.0,29.1,25.20,1.638,53.0
8.5,29.4,25.20,1.770,57.3
9.0,29.7,25.20,1.903,61.6
9.5,30.0,25.20,2.035,65.9
10.0,30.3,25.20,2.167,70.1
10.5,30.6,25.20,2.300,74.4
11.0,30.9,25.20,2.432,78.7
11.5,30.7,25.20,2.350,76.1
12.0,30.5,25.20,2.268,73.4
12.5,30.3,25.20,2.186,70.8
13.0,30.1,25.20,2.104,68.1
13.5,30.0,25.20,2.022,65.4
14.0,29.8,25.20,1.940,62.8
14.5,29.5,25.20,1.832,59.3
15.0,29.2,25.20,1.723,55.8
15.5,29.0,25.20,1.614,52.2
16.0,28.7,25.20,1.506,48.7
16.5,28.5,25.20,1.397,45.2
17.0,28.2,25.20,1.288,41.7
17.5,28.3,25.20,1.318,42.7
18.0,28.4,25.20,1.349,43.6
18.5,28.4,25.20,1.379,44.6
19.0,28.5,25.20,1.409,45.6
19.5,28.6,25.20,1.440,46.6
20.0,28.7,25.20,1.470,47.6
20.5,28.6,25.20,1.450,46.9
21.0,28.6,25.20,1.429,46.2
21.5,28.5,25.20,1.409,45.6
22.0,28.5,25.20,1.388,44.9
22.5,28.4,25.20,1.368,44.3
23.0,28.4,25.20,1.347,43.6
23.5,28.3,25.20,1.338,43.3
24.0,28.3,25.20,1.338,43.3

"空调: AC_S_014 (small), 额定功率: 2.59kW, 温度范围: [21.5, 25.5]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.75,0.000,0.0
