Hour,Sampled_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Dynamic_T_max
21,-0.696969696969697,12.0,27.0,21.124047,24.851107406621054
21,-0.6767676767676767,12.0,27.0,21.124047,24.82601795150272
21,-0.6565656565656566,12.0,27.0,21.124047,24.80095382647321
21,-0.6363636363636364,12.0,27.0,21.124047,24.7759150059595
21,-0.6161616161616161,12.0,27.0,21.124047,24.75090146441438
21,-0.5959595959595959,12.0,27.0,21.124047,24.725913176316425
21,-0.5757575757575757,12.0,27.0,21.124047,24.700950116169984
21,-0.5555555555555556,12.0,27.0,21.124047,24.676012258505146
21,-0.5353535353535352,12.0,27.0,21.124047,24.651099577877705
21,-0.5151515151515151,12.0,27.0,21.124047,24.626212048869156
21,-0.4949494949494949,12.0,27.0,21.124047,24.601349646086646
21,-0.4747474747474747,12.0,27.0,21.124047,24.576512344162968
21,-0.4545454545454545,12.0,27.0,21.124047,24.551700117756518
21,-0.43434343434343425,12.0,27.0,21.124047,24.526912941551274
21,-0.41414141414141414,12.0,27.0,21.124047,24.502150790256778
21,-0.3939393939393939,12.0,27.0,21.124047,24.477413638608112
21,-0.3737373737373737,12.0,27.0,21.124047,24.452701461365855
21,-0.3535353535353535,12.0,27.0,21.124047,24.428014233316063
21,-0.33333333333333326,12.0,27.0,21.124047,24.40335192927026
21,-0.31313131313131304,12.0,27.0,21.124047,24.3787145240654
21,-0.2929292929292928,12.0,27.0,21.124047,24.354101992563834
21,-0.2727272727272727,12.0,27.0,21.124047,24.32951430965329
21,-0.2525252525252525,12.0,27.0,21.124047,24.30495145024686
21,-0.23232323232323226,12.0,27.0,21.124047,24.280413389282945
21,-0.21212121212121204,12.0,27.0,21.124047,24.255900101725274
21,-0.19191919191919182,12.0,27.0,21.124047,24.23141156256283
21,-0.1717171717171716,12.0,27.0,21.124047,24.20694774680986
21,-0.1515151515151515,12.0,27.0,21.124047,24.182508629505826
21,-0.13131313131313127,12.0,27.0,21.124047,24.1580941857154
21,-0.11111111111111105,12.0,27.0,21.124047,24.133704390528422
21,-0.09090909090909083,12.0,27.0,21.124047,24.109339219059876
